speakers,words,probabilities
cruz,you,-4.2668335676
cruz,that,-4.1763279494
cruz,0,-2.698409824
cruz,",",-2.8914737558
cruz,a,-4.1650066466
cruz,this,-5.0454183469
cruz,and,-3.5134064221
cruz,i,-4.3914484376
cruz,to,-3.6489263624
cruz,in,-4.4142967827
cruz,of,-4.0664575231
cruz,are,-5.2167765989
cruz,he,-5.2167765989
cruz,for,-5.0563384663
cruz,with,-5.2039682265
cruz,it,-4.844402143
cruz,we,-4.6187301454
cruz,on,-4.6846518662
cruz,the,-3.1709671618
cruz,is,-4.2895245701
o'malley,to,-3.5872143481
o'malley,this,-4.750024143
o'malley,that,-4.0873404961
o'malley,0,-2.9579150357
o'malley,",",-3.0288924762
o'malley,a,-3.9653123917
o'malley,and,-3.5741814516
o'malley,in,-3.9846441362
o'malley,i,-4.2263564482
o'malley,have,-4.9855180915
o'malley,of,-3.7218145076
o'malley,you,-5.0859929395
o'malley,it,-5.1977022672
o'malley,for,-5.1977022672
o'malley,our,-4.3477814545
o'malley,we,-3.832810631
o'malley,as,-5.2109212304
o'malley,on,-4.9644978745
o'malley,the,-3.3901995707
o'malley,is,-4.7089168346
kasich,you,-4.2573779488
kasich,in,-4.03065351
kasich,0,-2.7918667023
kasich,",",-2.7701518435
kasich,a,-4.1068034419
kasich,this,-5.039782836
kasich,and,-3.5629285351
kasich,i,-3.9876001074
kasich,they,-4.9748881933
kasich,to,-3.4528558748
kasich,have,-4.5760424947
kasich,of,-4.2124130837
kasich,that,-4.3173991194
kasich,with,-5.1683936407
kasich,it,-4.6921665656
kasich,we,-3.8938128003
kasich,people,-5.0669676565
kasich,on,-5.1915338942
kasich,the,-3.19869591
kasich,is,-4.7307907246
paul,not,-4.9531358972
paul,you,-4.6901019015
paul,that,-4.2532812541
paul,0,-2.8817432885
paul,",",-3.089467078
paul,think,-4.8623706878
paul,a,-4.0737818696
paul,and,-3.9737923078
paul,i,-4.093696235
paul,to,-3.4959765727
paul,have,-4.9067238554
paul,in,-4.5752310618
paul,of,-4.3016192987
paul,for,-5.0018073035
paul,it,-4.8061366185
paul,we,-4.2691357281
paul,be,-5.0706220648
paul,the,-3.3267404423
paul,?,-5.0529693557
paul,is,-4.3437662867
christie,what,-5.0288597842
christie,you,-4.4667907841
christie,in,-4.2413104143
christie,0,-2.8981353476
christie,",",-3.06863221
christie,a,-4.2930952169
christie,this,-4.5457012423
christie,and,-3.5510692942
christie,not,-5.1464348548
christie,that,-4.1135678871
christie,to,-3.6110377351
christie,have,-5.1217878894
christie,of,-4.2984242995
christie,i,-4.4356647109
christie,about,-5.0627039619
christie,for,-5.0288597842
christie,it,-4.6771332811
christie,we,-4.3477088418
christie,the,-3.2274410706
christie,is,-4.314584091
trump,you,-4.2424024781
trump,that,-4.2266029745
trump,0,-2.3943803664
trump,",",-2.8339931456
trump,a,-3.9605544302
trump,and,-3.7355838098
trump,to,-3.7484574521
trump,they,-4.807585357
trump,i,-3.6020724035
trump,have,-4.2784326746
trump,in,-4.638927749
trump,but,-5.0817108702
trump,of,-4.1287862998
trump,going,-4.9513331242
trump,with,-5.0858151239
trump,it,-4.4095691699
trump,we,-4.1890013475
trump,people,-4.9125480761
trump,the,-3.5726625735
trump,is,-4.7739069866
webb,this,-4.9330289293
webb,in,-4.0057859594
webb,0,-3.3422362325
webb,",",-3.5418619118
webb,a,-4.141025466
webb,our,-5.3719057232
webb,who,-5.3719057232
webb,and,-3.9378712046
webb,to,-4.207550405
webb,the,-3.3495010665
webb,have,-5.1285815034
webb,of,-3.9918289987
webb,you,-5.2673719955
webb,i,-4.0488651258
webb,it,-5.4285781103
webb,for,-5.2673719955
webb,are,-5.3719057232
webb,we,-4.8643913607
webb,that,-4.4605860041
webb,is,-5.2189363784
carson,you,-4.1506359842
carson,that,-3.8620188439
carson,0,-2.9453653212
carson,",",-2.8704238999
carson,a,-4.1774053721
carson,our,-5.0420354794
carson,and,-3.5167729749
carson,i,-4.2379876028
carson,they,-4.8042915728
carson,to,-3.5332575117
carson,have,-4.5712940655
carson,in,-4.5916130849
carson,be,-4.9897496557
carson,of,-3.9444973047
carson,it,-4.8475322043
carson,we,-4.0541858385
carson,people,-4.7792171292
carson,know,-4.865365936
carson,the,-3.3633399246
carson,is,-4.2428034079
rubio,not,-4.7610498446
rubio,you,-4.6140385384
rubio,in,-4.0913137649
rubio,0,-2.7261590498
rubio,",",-3.1099780203
rubio,a,-3.9919425082
rubio,this,-4.6638698034
rubio,and,-3.676971665
rubio,that,-3.9287453004
rubio,they,-4.8845017422
rubio,to,-3.5228464912
rubio,have,-4.864788902
rubio,of,-3.9854400062
rubio,i,-4.5493386298
rubio,are,-4.8726274685
rubio,it,-4.5129862417
rubio,we,-4.4491602495
rubio,be,-5.011710908
rubio,the,-3.2011009152
rubio,is,-4.1113271682
sanders,to,-3.7119950649
sanders,you,-4.751878195
sanders,in,-4.0740678672
sanders,0,-2.7594309487
sanders,",",-2.8829033184
sanders,a,-4.0526739851
sanders,this,-4.8885820597
sanders,and,-3.7235749386
sanders,not,-4.8602635881
sanders,that,-3.8919901443
sanders,i,-3.8194093789
sanders,have,-4.5924267238
sanders,of,-3.8086212588
sanders,for,-5.0171403032
sanders,are,-4.9724258452
sanders,we,-4.2367027819
sanders,people,-4.9693071774
sanders,what,-4.8771582599
sanders,the,-3.2417091835
sanders,is,-4.124949513
fiorina,this,-4.8515504865
fiorina,in,-4.4940316931
fiorina,0,-2.6529624663
fiorina,",",-3.059151672
fiorina,a,-4.2148396655
fiorina,our,-5.2870081057
fiorina,for,-5.0934802977
fiorina,and,-3.845616898
fiorina,i,-4.3173621497
fiorina,to,-3.661566086
fiorina,have,-4.8213138671
fiorina,of,-4.071359952
fiorina,you,-5.0934802977
fiorina,about,-5.2635603726
fiorina,that,-4.6568980038
fiorina,it,-4.7087566739
fiorina,we,-4.0504750996
fiorina,the,-3.4593259311
fiorina,need,-5.240649863
fiorina,is,-4.3173621497
bush,not,-5.0625064274
bush,this,-4.5941957844
bush,in,-4.2638354221
bush,0,-2.6830207849
bush,",",-3.1258382407
bush,a,-3.9073494525
bush,need,-5.1708266773
bush,and,-3.7883095919
bush,that,-3.8282456855
bush,to,-3.5198306919
bush,have,-4.7728431178
bush,of,-3.9868655705
bush,you,-4.9314863516
bush,i,-4.3747400061
bush,for,-5.0532169969
bush,it,-4.6059502541
bush,we,-4.0697905647
bush,be,-5.0440130663
bush,the,-3.1797447477
bush,is,-4.306732842
perry,clip,-6.5358149074
perry,that,-6.5358149074
perry,0,-5.6622860348
perry,",",-6.5358149074
perry,tell,-7.1615208071
perry,but,-6.5358149074
perry,and,-7.1615208071
perry,this,-7.1615208071
perry,a,-6.1538802967
perry,up,-7.1615208071
perry,i,-6.5358149074
perry,video,-6.5358149074
perry,to,-5.8781744153
perry,will,-7.1615208071
perry,had,-7.1615208071
perry,no,-6.5358149074
perry,for,-6.5358149074
perry,we,-6.5358149074
perry,going,-6.5358149074
perry,is,-6.5358149074
chafee,to,-4.220529608
chafee,but,-5.6677383201
chafee,that,-4.9335721201
chafee,0,-3.1398445337
chafee,",",-3.7064647404
chafee,my,-5.3354974015
chafee,a,-4.4841693089
chafee,was,-5.2672114936
chafee,and,-4.4544494396
chafee,in,-4.8873745291
chafee,i,-4.1108908873
chafee,have,-5.0865414649
chafee,of,-4.7213628351
chafee,so,-5.5737725277
chafee,for,-5.2672114936
chafee,it,-5.3354974015
chafee,we,-4.9820077372
chafee,as,-5.4878828558
chafee,the,-3.6138672393
chafee,what,-5.5737725277
huckabee,not,-5.11977198
huckabee,this,-4.7355160516
huckabee,that,-4.0339300024
huckabee,0,-3.0405134711
huckabee,",",-3.2337677192
huckabee,they,-5.2117203208
huckabee,a,-4.1163234689
huckabee,and,-3.7973331132
huckabee,i,-4.6587765925
huckabee,have,-5.2117203208
huckabee,to,-3.7973331132
huckabee,you,-5.0090088083
huckabee,in,-4.7972005569
huckabee,be,-5.2117203208
huckabee,of,-4.1271168819
huckabee,it,-4.9092998815
huckabee,we,-4.194444603
huckabee,on,-5.0628576174
huckabee,the,-3.4623111222
huckabee,is,-4.6225078848
walker,this,-4.9338807635
walker,in,-4.2123683236
walker,0,-2.9483312786
walker,",",-3.2216673221
walker,the,-3.5203555732
walker,a,-4.4892746998
walker,it's,-5.3064557177
walker,and,-3.9366624422
walker,i,-4.4311751094
walker,to,-3.9366624422
walker,you,-5.1029161678
walker,that's,-5.4519904986
walker,of,-4.6870692871
walker,it,-5.2200088341
walker,about,-4.998108291
walker,we,-4.4311751094
walker,is,-4.998108291
walker,that,-4.4501690328
walker,need,-5.4519904986
walker,on,-4.998108291
clinton,to,-3.2334663531
clinton,you,-4.9514694521
clinton,in,-4.2811983233
clinton,0,-2.8051009986
clinton,",",-2.9935371366
clinton,a,-4.1762629132
clinton,and,-3.5928863988
clinton,on,-5.0718438684
clinton,that,-3.8690766097
clinton,i,-3.6120499733
clinton,have,-4.3626869025
clinton,be,-5.0928877834
clinton,of,-4.0171178276
clinton,are,-5.1268783876
clinton,for,-4.8416746312
clinton,it,-4.6946898906
clinton,we,-4.1047746258
clinton,what,-5.0600146605
clinton,the,-3.2268630227
clinton,is,-4.7643897927
